Match_Number,Match,Date,Year,Venue,Team_Batting_First,Team_Batting_Second,Bat_First_Runs_Scored,Bat_First_Wickets_Lost,Bat_First_Overs_Consumed,Bat_First_Overs_Allocated,Bat_Second_Runs_Scored,Bat_Second_Wickets_Lost,Bat_Second_Overs_Consumed,Bat_Second_Overs_Allocated,Winner,Winning_Team,Winning_Margin,Win_Type,Bat_First_Run_Rate,Bat_Second_Run_Rate,Balls_Remaining,Bat_First_5_ov_score,Bat_First_5_ov_wkts_lost,Bat_First_10_ov_score,Bat_First_10_ov_wkts_lost,Bat_First_15_ov_score,Bat_First_15_ov_wkts_lost,Bat_First_20_ov_score,Bat_First_20_ov_wkts_lost,Bat_Second_5_ov_score,Bat_Second_5_ov_wkts_lost,Bat_Second_5_ov_Req_RR,Bat_Second_10_ov_score,Bat_Second_10_ov_wkts_lost,Bat_Second_10_ov_Req_RR,Bat_Second_15_ov_score,Bat_Second_15_ov_wkts_lost,Bat_Second_15_ov_Req_RR,Bat_Second_20_ov_score,Bat_Second_20_ov_wkts_lost,Match_Time,Duckworth Lewis Used
1,League Match,Apr 18,2008,Bangalore,Kolkata,Bangalore,222,3,20,20,82,10,15.1,20,Kolkata,FirstBatting,140,run,11.10,5.41,29,60,0,87,1,154,2,222,3,24,3,13.26,51,7,17.20,81,9,28.40,,,Evening,
2,League Match,Apr 19,2008,Mohali,Chennai,Punjab,240,5,20,20,207,4,20,20,Chennai,FirstBatting,33,run,12.00,10.35,0,42,1,88,3,161,4,240,5,47,0,12.93,110,1,13.10,165,3,15.20,207,4,Afternoon,
3,League Match,Apr 19,2008,Delhi,Rajasthan,Delhi,129,8,20,20,132,1,15.1,20,Delhi,Chasing,9,wicket,6.45,8.70,29,37,2,57,4,96,7,129,8,48,1,5.46,86,1,4.40,128,1,0.40,,,Evening,
4,League Match,Apr 20,2008,Kolkata,Hyderabad,Kolkata,110,10,18.4,20,112,5,19,20,Kolkata,Chasing,5,wicket,5.89,5.89,6,23,2,52,4,77,6,110,10,23,3,5.86,38,3,7.30,81,4,6.00,,,Afternoon,
5,League Match,Apr 20,2008,Mumbai,Mumbai,Bangalore,165,6,20,20,166,5,19.4,20,Bangalore,Chasing,5,wicket,8.25,8.44,2,41,1,74,2,105,3,165,6,37,1,8.60,76,3,9.00,118,4,9.60,166,5,Evening,
6,League Match,Apr 21,2008,Jaipur,Punjab,Rajasthan,166,8,20,20,168,4,18.1,20,Rajasthan,Chasing,6,wicket,8.30,9.25,11,38,1,82,4,115,4,166,8,48,3,7.93,87,3,8.00,142,4,5.00,,,Evening,
7,League Match,Apr 22,2008,Hyderabad,Hyderabad,Delhi,142,8,20,20,143,1,13,20,Delhi,Chasing,9,wicket,7.10,11.00,42,23,1,45,4,73,5,142,8,37,1,7.06,95,1,4.80,,,,,,Evening,
8,League Match,Apr 23,2008,Chennai,Chennai,Mumbai,208,5,20,20,202,7,20,20,Chennai,FirstBatting,6,run,10.40,10.10,0,40,2,82,2,143,3,208,5,50,2,10.60,83,3,12.60,134,5,15.00,202,7,Evening,
9,League Match,Apr 24,2008,Hyderabad,Hyderabad,Rajasthan,214,5,20,20,217,7,19.5,20,Rajasthan,Chasing,3,wicket,10.70,10.94,1,48,2,85,3,148,3,214,5,57,1,10.53,114,2,10.10,159,3,11.20,217,7,Evening,
10,League Match,Apr 25,2008,Mohali,Punjab,Mumbai,182,10,20,20,116,9,20,20,Punjab,FirstBatting,66,run,9.10,5.80,0,43,1,94,2,138,4,182,10,34,2,9.93,67,4,11.60,101,7,16.40,116,9,Evening,
11,League Match,Apr 26,2008,Chennai,Kolkata,Chennai,147,9,20,20,152,1,17,20,Chennai,Chasing,9,wicket,7.35,8.94,18,50,2,72,5,104,6,147,9,35,0,7.53,77,1,7.10,121,1,5.40,,,Afternoon,
12,League Match,Apr 26,2008,Bangalore,Bangalore,Rajasthan,135,8,20,20,138,3,17.1,20,Rajasthan,Chasing,7,wicket,6.75,8.04,17,42,2,77,5,95,7,135,8,39,2,6.46,73,2,6.30,121,2,3.00,,,Evening,
13,League Match,Apr 27,2008,Mohali,Delhi,Punjab,158,8,20,20,162,6,19.3,20,Punjab,Chasing,4,wicket,7.90,8.31,3,40,2,69,4,107,5,158,8,43,2,7.73,81,3,7.80,123,4,7.20,162,6,Afternoon,
14,League Match,Apr 27,2008,Mumbai,Mumbai,Hyderabad,154,7,20,20,155,0,12,20,Hyderabad,Chasing,10,wicket,7.70,12.92,48,22,2,54,3,99,5,154,7,47,0,7.20,130,0,2.50,,,,,,Evening,
15,League Match,Apr 28,2008,Bangalore,Chennai,Bangalore,178,5,20,20,165,10,19.4,20,Chennai,FirstBatting,13,run,8.90,8.39,2,25,1,65,2,102,3,178,5,32,1,9.80,93,1,8.60,132,3,9.40,165,10,Evening,
16,League Match,Apr 29,2008,Kolkata,Kolkata,Mumbai,137,8,20,20,138,3,18.4,20,Mumbai,Chasing,7,wicket,6.85,7.39,8,38,2,60,3,87,6,137,8,29,3,7.26,69,3,6.90,110,3,5.60,,,Evening,
17,League Match,Apr 30,2008,Delhi,Delhi,Bangalore,191,5,20,20,181,5,20,20,Delhi,FirstBatting,10,run,9.55,9.05,0,53,1,91,1,151,2,191,5,48,3,9.60,83,3,10.90,134,3,11.60,181,5,Evening,
18,League Match,May 1,2008,Jaipur,Rajasthan,Kolkata,196,7,20,20,151,10,19.1,20,Rajasthan,FirstBatting,45,run,9.80,7.88,5,38,1,89,2,142,4,196,7,44,2,10.20,78,3,11.90,128,5,13.80,151,10,Afternoon,
19,League Match,May 1,2008,Hyderabad,Hyderabad,Punjab,164,8,20,20,167,3,18.5,20,Punjab,Chasing,7,wicket,8.20,8.87,7,38,1,76,3,111,6,164,8,37,0,8.53,77,2,8.80,129,3,7.20,,,Evening,
20,League Match,May 2,2008,Chennai,Chennai,Delhi,169,6,20,20,172,2,19,20,Delhi,Chasing,8,wicket,8.45,9.05,6,37,1,82,2,126,3,169,6,54,0,7.73,106,0,6.40,142,2,5.60,,,Evening,
21,League Match,May 3,2008,Bangalore,Bangalore,Hyderabad,156,8,20,20,153,6,20,20,Bangalore,FirstBatting,3,run,7.80,7.65,0,39,1,80,1,114,5,156,8,31,1,8.40,63,2,9.40,112,2,9.00,153,6,Afternoon,
22,League Match,May 3,2008,Mohali,Punjab,Kolkata,178,6,20,20,169,6,20,20,Punjab,FirstBatting,9,run,8.90,8.45,0,44,1,85,2,119,5,178,6,29,4,10.00,52,5,12.70,101,5,15.60,169,6,Evening,
23,League Match,May 4,2008,Mumbai,Mumbai,Delhi,162,8,20,20,133,10,18.5,20,Mumbai,FirstBatting,29,run,8.10,7.06,7,35,0,74,2,112,5,162,8,29,2,8.93,81,3,8.20,114,5,9.80,,,Afternoon,
24,League Match,May 4,2008,Jaipur,Chennai,Rajasthan,109,10,19,20,110,2,14.2,20,Rajasthan,Chasing,8,wicket,5.74,7.67,34,30,3,58,5,91,7,109,10,34,0,5.06,78,0,3.20,110,2,,,,Evening,
25,League Match,May 5,2008,Bangalore,Bangalore,Punjab,126,10,19.2,20,127,4,18.2,20,Punjab,Chasing,6,wicket,6.52,6.93,10,19,3,51,3,97,4,126,10,44,1,5.53,81,2,4.60,109,4,3.60,,,Evening,
26,League Match,May 6,2008,Chennai,Chennai,Hyderabad,144,7,20,20,148,3,18,20,Hyderabad,Chasing,7,wicket,7.20,8.22,12,31,2,66,4,86,6,144,7,30,1,7.66,78,2,6.70,115,2,6.00,,,Evening,
27,League Match,May 7,2008,Mumbai,Rajasthan,Mumbai,103,10,16.2,20,104,3,15.1,20,Mumbai,Chasing,7,wicket,6.31,6.86,29,31,2,79,3,102,7,103,10,29,0,5.00,64,1,4.00,102,3,0.40,,,Evening,
28,League Match,May 8,2008,Delhi,Delhi,Chennai,187,5,20,20,188,6,20,20,Chennai,Chasing,4,wicket,9.35,9.40,0,45,1,83,2,133,2,187,5,42,0,9.73,98,2,9.00,142,4,9.20,188,6,Afternoon,
29,League Match,May 8,2008,Kolkata,Kolkata,Bangalore,129,7,16,16,124,4,16,16,Kolkata,FirstBatting,5,run,8.06,7.75,0,36,2,76,4,115,6,,,32,2,9.00,53,3,13.00,111,4,20.00,,,Evening,
30,League Match,May 9,2008,Jaipur,Hyderabad,Rajasthan,140,8,20,20,141,2,16,20,Rajasthan,Chasing,8,wicket,7.00,8.81,24,41,0,74,1,103,4,140,8,33,0,7.20,81,0,6.00,129,1,2.40,,,Evening,
31,League Match,May 10,2008,Chennai,Chennai,Punjab,181,4,20,20,163,9,20,20,Chennai,FirstBatting,18,run,9.05,8.15,0,38,2,85,3,144,3,181,4,31,2,10.06,76,2,10.60,115,6,13.40,163,9,Evening,
32,League Match,May 11,2008,Hyderabad,Kolkata,Hyderabad,204,4,20,20,181,7,20,20,Kolkata,FirstBatting,23,run,10.20,9.05,0,33,1,73,1,118,2,204,4,41,2,10.93,74,4,13.10,125,6,16.00,181,7,Afternoon,
33,League Match,May 11,2008,Jaipur,Delhi,Rajasthan,156,7,20,20,159,7,19.1,20,Rajasthan,Chasing,3,wicket,7.80,8.30,5,39,0,68,3,96,5,156,7,15,2,9.46,80,2,7.70,120,4,7.40,159,7,Evening,
34,League Match,May 12,2008,Mohali,Bangalore,Punjab,143,8,20,20,144,1,15.4,20,Punjab,Chasing,9,wicket,7.15,9.19,26,36,2,74,3,102,5,143,8,33,0,7.40,70,1,7.40,141,1,0.60,,,Evening,
35,League Match,May 13,2008,Kolkata,Kolkata,Delhi,133,6,20,20,110,10,17.5,20,Kolkata,FirstBatting,23,run,6.65,6.17,13,28,0,69,2,95,3,133,6,32,4,6.80,64,5,7.00,97,6,7.40,,,Evening,
36,League Match,May 14,2008,Mumbai,Chennai,Mumbai,156,6,20,20,158,1,13.5,20,Mumbai,Chasing,9,wicket,7.80,11.42,37,23,1,57,4,89,4,156,6,57,0,6.66,107,1,5.00,,,,,,Evening,
37,League Match,May 15,2008,Delhi,Delhi,Hyderabad,194,4,20,20,182,9,20,20,Delhi,FirstBatting,12,run,9.70,9.10,0,40,1,76,1,138,1,194,4,61,1,8.93,84,3,11.10,128,4,13.40,182,9,Evening,
38,League Match,May 16,2008,Mumbai,Kolkata,Mumbai,67,10,15.2,20,68,2,5.3,20,Mumbai,Chasing,8,wicket,4.37,12.36,87,22,3,44,6,67,9,67,10,53,2,1.00,,,,,,,,,Evening,
39,League Match,May 17,2008,Jaipur,Rajasthan,Bangalore,197,1,20,20,132,9,20,20,Rajasthan,FirstBatting,65,run,9.85,6.60,0,43,0,94,0,143,1,197,1,18,3,12.00,38,4,16,83,7,23.00,132,9,Afternoon,
40,League Match,May 17,2008,Delhi,Delhi,Punjab,118,4,11,11,94,3,8,8,Punjab,Chasing,6,run,10.73,11.75,0,46,0,115,2,,,,,56,3,11.33,,,,,,,,,Evening,D/L
41,League Match,May 18,2008,Kolkata,Kolkata,Chennai,149,5,20,20,55,0,8,8,Chennai,Chasing,3,run,7.45,6.88,0,28,2,61,2,101,2,149,5,36,0,7.60,,,,,,,,,Afternoon,D/L
42,League Match,May 18,2008,Hyderabad,Mumbai,Hyderabad,178,7,20,20,153,7,20,20,Mumbai,FirstBatting,25,run,8.90,7.65,0,48,1,78,3,114,4,178,7,23,3,10.40,59,4,12,106,4,14.60,153,7,Evening,
43,League Match,May 19,2008,Bangalore,Bangalore,Delhi,154,7,20,20,158,5,18.2,20,Delhi,Chasing,5,wicket,7.70,8.62,10,35,1,70,2,102,3,154,7,60,0,6.33,105,2,5,127,4,5.60,,,Evening,
44,League Match,May 20,2008,Kolkata,Kolkata,Rajasthan,147,8,20,20,150,4,16.3,20,Rajasthan,Chasing,6,wicket,7.35,9.09,21,24,1,59,2,102,4,147,8,42,1,7.06,69,4,7.9,128,4,4.00,,,Evening,
45,League Match,May 21,2008,Mumbai,Punjab,Mumbai,189,4,20,20,188,10,20,20,Punjab,FirstBatting,1,run,9.45,9.40,0,30,1,84,1,134,2,189,4,56,1,8.93,90,2,10,144,3,9.20,188,10,Afternoon,
46,League Match,May 21,2008,Chennai,Bangalore,Chennai,126,8,20,20,112,8,20,20,Bangalore,FirstBatting,14,run,6.30,5.60,0,22,1,41,4,76,5,126,8,42,0,5.66,61,1,6.6,91,4,7.20,111,8,Evening,
47,League Match,May 23,2008,Mohali,Hyderabad,Punjab,175,4,20,20,178,4,19.3,20,Punjab,Chasing,6,wicket,8.75,9.13,3,39,0,70,0,111,2,175,4,63,0,7.53,101,1,7.5,135,2,8.20,178,4,Evening,
48,League Match,May 24,2008,Chennai,Rajasthan,Chennai,211,5,20,20,201,7,20,20,Rajasthan,FirstBatting,10,run,10.55,10.05,0,52,0,107,0,167,2,211,5,55,1,10.46,99,2,11.3,157,3,11.00,201,7,Afternoon,
49,League Match,May 24,2008,Delhi,Mumbai,Delhi,176,8,20,20,179,5,19.5,20,Delhi,Chasing,5,wicket,8.80,9.03,1,43,0,81,1,123,4,176,8,50,2,8.46,88,2,8.9,130,5,9.40,179,5,Evening,
50,League Match,May 25,2008,Hyderabad,Hyderabad,Bangalore,165,10,20,20,171,5,19,20,Bangalore,Chasing,5,wicket,8.25,9.00,6,34,0,81,0,123,4,165,10,36,1,8.66,61,2,10.5,106,3,12.00,,,Afternoon,
51,League Match,May 25,2008,Kolkata,Punjab,Kolkata,174,6,20,20,175,7,19.4,20,Kolkata,Chasing,3,wicket,8.70,8.90,2,37,1,82,1,133,3,174,6,45,0,8.66,74,4,10.1,104,5,14.20,175,7,Evening,
52,League Match,May 26,2008,Jaipur,Mumbai,Rajasthan,145,7,20,20,146,5,20,20,Rajasthan,Chasing,5,wicket,7.25,7.30,0,28,0,60,0,97,2,145,7,32,1,7.60,67,3,7.9,90,5,11.20,146,5,Evening,
53,League Match,May 27,2008,Hyderabad,Hyderabad,Chennai,147,8,20,20,148,3,19.2,20,Chennai,Chasing,7,wicket,7.35,7.66,4,18,2,57,2,93,3,147,8,41,1,7.13,72,2,7.6,114,2,6.80,148,3,Evening,
54,League Match,May 28,2008,Bangalore,Bangalore,Mumbai,122,9,18,18,126,1,16,18,Mumbai,Chasing,9,wicket,6.78,7.88,12,34,0,56,3,92,7,,,36,0,6.76,79,0,5.62,117,1,2.33,,,Afternoon,
55,League Match,May 28,2008,Mohali,Punjab,Rajasthan,221,3,20,20,180,7,20,20,Punjab,FirstBatting,41,run,11.05,9.00,0,41,0,88,0,144,1,221,3,29,2,12.86,67,2,15.5,140,5,16.40,180,7,Evening,
56,1st Semi-Final,May 30,2008,Mumbai,Rajasthan,Delhi,192,9,20,20,87,10,16.1,20,Rajasthan,FirstBatting,105,run,9.60,5.38,23,43,0,83,3,142,4,192,9,24,2,11.26,56,5,13.7,82,8,22.20,,,Evening,
57,2nd Semi-Final,May 31,2008,Mumbai,Punjab,Chennai,112,8,20,20,116,1,14.5,20,Chennai,Chasing,9,wicket,5.60,7.82,31,30,3,45,6,68,7,112,8,30,1,5.53,62,1,5.1,116,1,,,,Evening,
58,Final,Jun 1,2008,Mumbai,Chennai,Rajasthan,163,5,20,20,164,7,20,20,Rajasthan,Chasing,3,wicket,8.15,8.20,0,39,0,75,2,117,3,163,5,36,1,8.53,75,3,8.9,112,4,10.40,164,7,Evening,
59,League Match,Apr 18,2009,Cape Town,Mumbai,Chennai,165,7,20,20,146,7,20,20,Mumbai,FirstBatting,19,run,8.25,7.30,0,35,0,64,1,105,4,165,7,33,2,8.86,70,3,9.6,108,5,11.60,146,7,Afternoon,
60,League Match,Apr 18,2009,Cape Town,Bangalore,Rajasthan,133,8,20,20,58,10,15.1,20,Bangalore,FirstBatting,75,run,6.65,3.82,29,17,3,57,4,87,5,133,8,13,2,8.06,32,5,10.2,58,9,15.20,,,Evening,
61,League Match,Apr 19,2009,Cape Town,Punjab,Delhi,104,7,12,12,58,0,4.5,6,Delhi,Chasing,10,wicket,8.67,12.00,7,52,0,91,3,,,,,58,0,,,,,,,,,,Afternoon,
62,League Match,Apr 19,2009,Cape Town,Kolkata,Hyderabad,101,10,19.4,20,104,2,13.1,20,Hyderabad,Chasing,8,wicket,5.14,7.90,41,15,2,31,3,64,5,101,10,35,2,4.46,69,2,3.3,,,,,,Evening,
63,League Match,Apr 20,2009,Port Elizabeth,Chennai,Bangalore,179,5,20,20,87,10,15.2,20,Chennai,FirstBatting,92,run,8.95,5.67,28,56,0,106,0,135,2,179,5,40,1,9.33,56,5,12.4,85,9,19.00,,,Evening,
64,League Match,Apr 21,2009,Durban,Punjab,Kolkata,158,6,20,20,79,1,9.2,9.2,Kolkata,Chasing,11,run,7.90,8.46,0,36,1,67,3,117,4,158,6,47,0,7.46,79,1,,,,,,,Evening,D/L
65,League Match,Apr 22,2009,Cape Town,Hyderabad,Bangalore,184,6,20,20,160,8,20,20,Hyderabad,FirstBatting,24,run,9.20,8.00,0,49,1,91,2,139,3,184,6,25,2,10.66,57,3,12.8,109,4,15.20,160,8,Evening,
66,League Match,Apr 23,2009,Durban,Delhi,Chennai,189,5,20,20,180,9,20,20,Delhi,FirstBatting,9,run,9.45,9.00,0,46,2,90,3,123,4,189,5,56,0,8.93,106,2,8.4,148,4,8.40,180,9,Afternoon,
67,League Match,Apr 23,2009,Cape Town,Rajasthan,Kolkata,150,6,20,20,150,8,20,20,Match tied,Match Tied,,,7.50,7.50,0,40,2,78,4,107,4,150,6,28,1,8.2,67,3,8.4,98,5,10.60,150,8,Evening,
68,League Match,Apr 24,2009,Durban,Bangalore,Punjab,168,9,20,20,173,3,19,20,Punjab,Chasing,7,wicket,8.40,9.11,6,47,1,71,3,118,4,168,9,39,0,8.66,80,1,8.9,109,2,12.00,,,Evening,
69,League Match,Apr 25,2009,Durban,Hyderabad,Mumbai,168,9,20,20,156,7,20,20,Hyderabad,FirstBatting,12,run,8.40,7.80,0,44,0,88,1,137,4,168,9,42,1,8.46,84,1,8.5,108,4,12.20,156,7,Evening,
70,League Match,Apr 26,2009,Port Elizabeth,Bangalore,Delhi,149,7,20,20,150,4,19.2,20,Delhi,Chasing,6,wicket,7.45,7.76,4,35,2,74,3,100,4,149,7,39,1,7.4,64,2,8.6,99,3,10.20,150,4,Afternoon,
71,League Match,Apr 26,2009,Cape Town,Punjab,Rajasthan,139,6,20,20,112,7,20,20,Punjab,FirstBatting,27,run,6.95,5.60,0,28,2,60,4,98,4,139,6,27,4,7.53,48,6,9.2,82,6,11.60,112,7,Evening,
72,League Match,Apr 27,2009,Durban,Chennai,Hyderabad,165,6,20,20,169,4,19.3,20,Hyderabad,Chasing,6,wicket,8.25,8.67,3,55,1,88,2,113,4,165,6,66,0,6.66,85,2,8.1,129,3,7.40,169,4,Afternoon,
73,League Match,Apr 27,2009,Port Elizabeth,Mumbai,Kolkata,187,6,20,20,95,10,15.2,20,Mumbai,FirstBatting,92,run,9.35,6.20,28,45,0,111,0,151,3,187,6,39,2,9.93,70,2,11.8,95,7,18.60,,,Evening,
74,League Match,Apr 28,2009,Centurion,Delhi,Rajasthan,143,7,20,20,147,5,18.3,20,Rajasthan,Chasing,5,wicket,7.15,7.95,9,36,2,66,4,101,4,143,7,31,2,7.53,60,3,8.4,96,5,9.60,,,Evening,
75,League Match,Apr 29,2009,Durban,Kolkata,Bangalore,139,6,20,20,143,5,19.5,20,Bangalore,Chasing,5,wicket,6.95,7.21,1,44,1,61,3,94,4,139,6,40,0,6.66,65,0,7.5,98,2,8.40,143,5,Afternoon,
76,League Match,Apr 29,2009,Durban,Punjab,Mumbai,119,8,20,20,116,7,20,20,Punjab,FirstBatting,3,run,5.95,5.80,0,23,2,50,3,86,5,119,8,13,3,7.13,47,4,7.3,81,4,7.80,116,7,Evening,
77,League Match,Apr 30,2009,Centurion,Hyderabad,Delhi,148,9,20,20,150,4,18.4,20,Delhi,Chasing,6,wicket,7.40,8.04,8,30,2,55,4,118,5,148,9,35,2,7.6,70,3,7.9,101,3,9.60,,,Afternoon,
78,League Match,Apr 30,2009,Centurion,Chennai,Rajasthan,164,5,20,20,126,10,19.3,20,Chennai,FirstBatting,38,run,8.20,6.46,3,26,2,81,2,104,4,164,5,28,1,9.13,61,3,10.4,98,5,13.40,126,10,Evening,
79,League Match,May 1,2009,East London,Mumbai,Kolkata,148,6,20,20,139,6,20,20,Mumbai,FirstBatting,9,run,7.40,6.95,0,31,1,61,3,88,4,148,6,21,2,8.53,60,2,8.9,98,3,10.20,139,6,Afternoon,
80,League Match,May 1,2009,Durban,Bangalore,Punjab,145,9,20,20,137,7,20,20,Bangalore,FirstBatting,8,run,7.25,6.85,0,27,2,62,3,100,6,145,9,28,0,7.86,70,1,7.6,95,3,10.20,137,7,Evening,
81,League Match,May 2,2009,Port Elizabeth,Hyderabad,Rajasthan,141,5,20,20,142,7,19.4,20,Rajasthan,Chasing,3,wicket,7.05,7.22,2,35,1,58,3,102,3,141,5,20,3,8.13,60,5,8.2,98,6,8.80,142,7,Afternoon,
82,League Match,May 2,2009,Johannesburg,Chennai,Delhi,163,10,20,20,145,8,20,20,Chennai,FirstBatting,18,run,8.15,7.25,0,36,1,77,2,130,4,163,10,38,2,8.4,72,3,9.2,120,3,8.80,145,8,Evening,
83,League Match,May 3,2009,Port Elizabeth,Kolkata,Punjab,153,3,20,20,154,4,20,20,Punjab,Chasing,6,wicket,7.65,7.70,0,23,1,52,1,92,2,153,3,44,1,7.33,81,3,7.3,116,4,7.60,154,4,Afternoon,
84,League Match,May 3,2009,Johannesburg,Mumbai,Bangalore,149,4,20,20,150,1,18.1,20,Bangalore,Chasing,9,wicket,7.45,8.26,11,23,2,53,3,86,4,149,4,51,1,6.6,74,1,7.6,122,1,5.60,,,Evening,
85,League Match,May 4,2009,East London,Chennai,Hyderabad,178,3,20,20,100,10,14.4,20,Chennai,FirstBatting,78,run,8.90,6.82,32,45,0,84,1,130,2,178,3,34,3,9.66,79,5,10,100,10,,,,Evening,
86,League Match,May 5,2009,Durban,Rajasthan,Punjab,211,4,20,20,133,8,20,20,Rajasthan,FirstBatting,78,run,10.55,6.65,0,44,0,93,0,136,1,211,4,25,3,12.46,53,5,15.9,96,6,23.20,133,8,Afternoon,
87,League Match,May 5,2009,Durban,Kolkata,Delhi,154,3,20,20,157,1,19,20,Delhi,Chasing,9,wicket,7.70,8.26,6,48,0,69,1,103,2,154,3,49,0,7.06,76,1,7.9,114,1,8.20,,,Evening,
88,League Match,May 6,2009,Centurion,Hyderabad,Mumbai,145,6,20,20,126,8,20,20,Hyderabad,FirstBatting,19,run,7.25,6.30,0,36,1,63,3,99,4,145,6,27,2,7.93,71,3,7.5,100,4,9.20,126,8,Evening,
89,League Match,May 7,2009,Centurion,Bangalore,Rajasthan,105,10,20,20,107,3,15,20,Rajasthan,Chasing,7,wicket,5.25,7.13,30,23,2,49,4,76,6,105,10,25,0,5.4,62,2,4.4,107,3,,,,Afternoon,
90,League Match,May 7,2009,Centurion,Chennai,Punjab,185,3,18,18,174,3,18,18,Chennai,FirstBatting,12,run,10.28,9.67,0,45,1,80,2,145,2,,,47,1,10.84,90,3,12.25,148,3,13.33,,,Evening,D/L
91,League Match,May 8,2009,East London,Mumbai,Delhi,116,10,20,20,118,3,18.5,20,Delhi,Chasing,7,wicket,5.80,6.27,7,25,2,43,4,74,4,116,10,33,0,5.6,52,2,6.5,74,2,8.60,,,Evening,
92,League Match,May 9,2009,Kimberley,Hyderabad,Punjab,168,5,20,20,169,7,19.5,20,Punjab,Chasing,3,wicket,8.40,8.52,1,44,1,72,3,100,4,168,5,42,2,8.46,86,4,8.3,119,5,10.00,169,7,Afternoon,
93,League Match,May 9,2009,Kimberley,Rajasthan,Chennai,140,7,20,20,141,3,18.2,20,Chennai,Chasing,7,wicket,7.00,7.69,10,25,1,61,2,99,4,140,7,25,1,7.73,67,2,7.4,97,2,8.80,,,Evening,
94,League Match,May 10,2009,Port Elizabeth,Mumbai,Bangalore,157,2,20,20,141,7,20,20,Mumbai,FirstBatting,16,run,7.85,7.05,0,42,1,67,2,104,2,157,2,31,2,8.46,58,4,10,100,6,11.60,141,7,Afternoon,
95,League Match,May 10,2009,Johannesburg,Kolkata,Delhi,123,8,20,20,125,3,17.1,20,Delhi,Chasing,7,wicket,6.15,7.28,17,25,3,52,5,77,6,123,8,45,0,5.26,72,3,5.2,100,3,4.80,,,Evening,
96,League Match,May 11,2009,Kimberley,Hyderabad,Rajasthan,166,7,20,20,113,10,19.3,20,Hyderabad,FirstBatting,53,run,8.30,5.79,3,32,1,77,3,108,4,166,7,25,2,9.46,59,3,10.8,95,6,14.40,113,10,Evening,
97,League Match,May 12,2009,Centurion,Kolkata,Bangalore,173,4,20,20,176,4,19.2,20,Bangalore,Chasing,6,wicket,8.65,9.10,4,27,2,69,2,102,3,173,4,36,0,9.2,70,2,10.4,119,3,11.00,176,4,Afternoon,
98,League Match,May 12,2009,Centurion,Punjab,Mumbai,119,9,20,20,122,2,16.2,20,Mumbai,Chasing,8,wicket,5.95,7.47,22,43,2,70,4,92,7,119,9,35,1,5.66,74,2,4.6,113,2,1.40,,,Evening,
99,League Match,May 13,2009,Durban,Delhi,Hyderabad,173,7,20,20,161,10,19.4,20,Delhi,FirstBatting,12,run,8.65,8.19,2,32,1,81,3,109,4,173,7,40,2,8.93,83,2,9.1,134,3,8.00,161,10,Evening,
