Match_Number,Match,Date,Year,Venue,Team_Batting_First,Team_Batting_Second,Bat_First_Runs_Scored,Bat_First_Wickets_Lost,Bat_First_Overs_Consumed,Bat_First_Overs_Allocated,Bat_Second_Runs_Scored,Bat_Second_Wickets_Lost,Bat_Second_Overs_Consumed,Bat_Second_Overs_Allocated,Winner,Winning_Team,Winning_Margin,Win_Type,Bat_First_Run_Rate,Bat_Second_Run_Rate,Balls_Remaining,Bat_First_5_ov_score,Bat_First_5_ov_wkts_lost,Bat_First_10_ov_score,Bat_First_10_ov_wkts_lost,Bat_First_15_ov_score,Bat_First_15_ov_wkts_lost,Bat_First_20_ov_score,Bat_First_20_ov_wkts_lost,Bat_Second_5_ov_score,Bat_Second_5_ov_wkts_lost,Bat_Second_5_ov_Req_RR,Bat_Second_10_ov_score,Bat_Second_10_ov_wkts_lost,Bat_Second_10_ov_Req_RR,Bat_Second_15_ov_score,Bat_Second_15_ov_wkts_lost,Bat_Second_15_ov_Req_RR,Bat_Second_20_ov_score,Bat_Second_20_ov_wkts_lost,Match_Time,Duckworth Lewis Used
100,League Match,May 14,2009,Durban,Chennai,Bangalore,129,10,19.4,20,132,8,19.4,20,Bangalore,Chasing,2,wicket,6.56,6.71,2,43,1,72,2,105,4,129,10,30,3,6.66,57,3,7.3,91,4,7.80,132,8,Afternoon,
101,League Match,May 14,2009,Durban,Rajasthan,Mumbai,145,7,20,20,143,10,19.5,20,Rajasthan,FirstBatting,2,run,7.25,7.21,1,39,0,66,2,123,2,145,7,23,2,8.2,54,3,9.2,98,5,9.60,143,10,Evening,
102,League Match,May 15,2009,Bloemfontein,Delhi,Punjab,120,9,20,20,123,4,19.1,20,Punjab,Chasing,6,wicket,6.00,6.42,5,27,2,52,4,97,4,120,9,35,2,5.73,50,3,7.1,86,3,7.00,123,4,Evening,
103,League Match,May 16,2009,Port Elizabeth,Mumbai,Chennai,147,5,20,20,151,3,19.1,20,Chennai,Chasing,7,wicket,7.35,7.88,5,34,1,70,2,96,3,147,5,34,2,7.6,56,2,9.2,102,3,9.20,151,3,Afternoon,
104,League Match,May 16,2009,Johannesburg,Kolkata,Hyderabad,160,5,20,20,166,4,20,20,Hyderabad,Chasing,6,wicket,8.00,8.30,0,29,1,50,1,89,2,160,5,41,0,8,71,1,9,105,2,11.20,166,4,Evening,
105,League Match,May 17,2009,Johannesburg,Punjab,Hyderabad,134,7,20,20,133,8,20,20,Punjab,FirstBatting,1,run,6.70,6.65,0,33,3,55,4,94,4,134,7,40,2,6.33,65,2,7,86,5,9.80,133,8,Afternoon,
106,League Match,May 17,2009,Bloemfontein,Delhi,Rajasthan,150,3,20,20,136,9,20,20,Delhi,FirstBatting,14,run,7.50,6.80,0,26,2,60,2,95,2,150,3,19,2,8.8,60,3,9.1,93,5,11.60,136,9,Evening,
107,League Match,May 18,2009,Centurion,Chennai,Kolkata,188,3,20,20,189,3,20,20,Kolkata,Chasing,7,wicket,9.40,9.45,0,42,0,83,2,123,2,188,3,34,1,10.33,83,1,10.6,131,2,11.60,189,3,Evening,
108,League Match,May 19,2009,Johannesburg,Delhi,Bangalore,134,7,20,20,135,3,19,20,Bangalore,Chasing,7,wicket,6.70,7.11,6,28,2,63,3,89,5,134,7,19,1,7.73,54,1,8.1,102,3,6.60,,,Evening,
109,League Match,May 20,2009,Durban,Rajasthan,Kolkata,101,9,20,20,102,6,19.3,20,Kolkata,Chasing,4,wicket,5.05,5.23,3,38,3,61,5,79,7,101,9,21,3,5.4,38,5,6.4,65,6,7.40,102,6,Afternoon,
110,League Match,May 20,2009,Durban,Chennai,Punjab,116,9,20,20,92,8,20,20,Chennai,FirstBatting,24,run,5.80,4.60,0,44,1,70,4,96,6,116,9,26,1,6.06,42,2,7.5,59,4,11.60,92,8,Evening,
111,League Match,May 21,2009,Centurion,Mumbai,Delhi,165,8,20,20,166,6,17.3,20,Delhi,Chasing,4,wicket,8.25,9.49,15,28,3,72,3,109,5,165,8,46,1,8,93,1,7.3,146,4,4.00,,,Afternoon,
112,League Match,May 21,2009,Centurion,Bangalore,Hyderabad,170,4,20,20,158,6,20,20,Bangalore,FirstBatting,12,run,8.50,7.90,0,31,1,64,2,116,3,170,4,45,0,8.4,85,1,8.6,119,3,10.40,158,6,Evening,
113,1st Semi-Final,May 22,2009,Centurion,Delhi,Hyderabad,153,8,20,20,154,4,17.4,20,Hyderabad,Chasing,6,wicket,7.65,8.72,14,41,2,83,2,109,3,153,8,59,1,6.33,102,3,5.2,146,4,1.60,,,Evening,
114,2nd Semi-Final,May 23,2009,Johannesburg,Chennai,Bangalore,146,5,20,20,149,4,18.5,20,Bangalore,Chasing,6,wicket,7.30,7.91,7,46,0,74,2,107,3,146,5,49,2,6.53,82,2,6.5,110,3,7.40,,,Evening,
115,Final,May 24,2009,Johannesburg,Hyderabad,Bangalore,143,6,20,20,137,9,20,20,Hyderabad,FirstBatting,6,run,7.15,6.85,0,23,2,62,3,101,3,143,6,33,1,7.4,69,3,7.5,103,6,8.20,137,9,Evening,
116,League Match,Mar 12,2010,Mumbai,Kolkata,Hyderabad,161,4,20,20,150,7,20,20,Kolkata,FirstBatting,11,run,8.05,7.50,0,31,3,57,4,92,4,161,4,56,0,7.06,88,1,7.4,122,4,8.00,150,7,Evening,
117,League Match,Mar 13,2010,Mumbai (BS),Mumbai,Rajasthan,212,6,20,20,208,7,20,20,Mumbai,FirstBatting,4,run,10.60,10.40,0,52,1,101,3,159,3,212,6,38,1,11.66,69,4,14.4,143,4,14.00,208,7,Afternoon,
118,League Match,Mar 13,2010,Mohali,Punjab,Delhi,142,9,20,20,146,5,19.5,20,Delhi,Chasing,5,wicket,7.10,7.36,1,39,1,76,4,113,6,142,9,30,2,7.53,61,3,8.2,105,4,7.60,146,5,Evening,
119,League Match,Mar 14,2010,Kolkata,Bangalore,Kolkata,135,7,20,20,136,3,19.2,20,Kolkata,Chasing,7,wicket,6.75,7.03,4,18,2,57,4,89,5,135,7,52,0,5.6,85,0,5.1,116,2,4.00,136,3,Afternoon,
120,League Match,Mar 14,2010,Chennai,Hyderabad,Chennai,190,4,20,20,159,9,20,20,Hyderabad,FirstBatting,31,run,9.50,7.95,0,55,2,80,2,127,2,190,4,31,3,10.66,70,5,12.1,108,6,16.60,159,9,Evening,
121,League Match,Mar 15,2010,Ahmedabad,Rajasthan,Delhi,141,6,20,20,142,4,17.1,20,Delhi,Chasing,6,wicket,7.05,8.27,17,45,2,57,4,91,4,141,6,47,2,6.33,99,3,4.3,131,4,2.20,,,Evening,
122,League Match,Mar 16,2010,Bangalore,Punjab,Bangalore,203,3,20,20,204,2,18.5,20,Bangalore,Chasing,8,wicket,10.15,10.83,7,35,0,87,0,133,1,203,3,43,0,10.73,89,1,11.5,149,2,11.00,,,Afternoon,
123,League Match,Mar 16,2010,Kolkata,Chennai,Kolkata,164,3,20,20,109,10,19.2,20,Chennai,FirstBatting,55,run,8.20,5.64,4,22,1,59,3,96,3,164,3,34,3,8.73,67,5,9.8,90,9,15.00,109,10,Evening,
124,League Match,Mar 17,2010,Delhi,Mumbai,Delhi,218,7,20,20,120,10,16.3,20,Mumbai,FirstBatting,98,run,10.90,7.27,21,56,1,112,2,165,3,218,7,49,1,11.33,84,5,13.5,119,8,20.00,,,Evening,
125,League Match,Mar 18,2010,Bangalore,Rajasthan,Bangalore,92,10,19.5,20,93,0,10.4,20,Bangalore,Chasing,10,wicket,4.64,8.72,56,27,0,45,3,78,4,92,10,52,0,2.73,90,0,0.3,,,,,,Evening,
126,League Match,Mar 19,2010,Delhi,Delhi,Chennai,185,6,20,20,190,5,19.1,20,Chennai,Chasing,5,wicket,9.25,9.91,5,50,1,89,1,139,4,185,6,50,1,9.06,102,2,8.4,153,3,6.60,190,5,Afternoon,
127,League Match,Mar 19,2010,Cuttack,Hyderabad,Punjab,170,7,20,20,164,8,20,20,Hyderabad,FirstBatting,6,run,8.50,8.20,0,53,1,100,1,125,4,170,7,22,3,9.93,57,4,11.4,98,6,14.60,164,8,Evening,
128,League Match,Mar 20,2010,Ahmedabad,Rajasthan,Kolkata,168,7,20,20,134,5,20,20,Rajasthan,FirstBatting,34,run,8.40,6.70,0,42,2,92,3,124,4,168,7,37,1,8.8,65,1,10.4,99,3,14.00,134,5,Afternoon,
129,League Match,Mar 20,2010,Mumbai (BS),Mumbai,Bangalore,151,9,20,20,155,3,19.1,20,Bangalore,Chasing,7,wicket,7.55,8.09,5,37,2,74,3,102,6,151,9,40,0,7.46,85,1,6.7,117,2,7.00,155,3,Evening,
130,League Match,Mar 21,2010,Cuttack,Hyderabad,Delhi,171,6,20,20,161,9,20,20,Hyderabad,FirstBatting,10,run,8.55,8.05,0,44,2,77,3,115,4,171,6,41,1,8.73,85,1,8.7,116,4,11.20,161,9,Afternoon,
131,League Match,Mar 21,2010,Chennai,Punjab,Chennai,136,8,20,20,136,7,20,20,Match tied,Match Tied,,,6.80,6.80,0,30,1,59,3,98,4,136,8,34,0,6.86,73,1,6.4,109,4,5.60,136,7,Evening,
132,League Match,Mar 22,2010,Mumbai (BS),Kolkata,Mumbai,155,3,20,20,156,3,18.3,20,Mumbai,Chasing,7,wicket,7.75,8.43,9,34,0,67,0,102,1,155,3,51,0,7,76,1,8,122,2,6.80,,,Evening,
133,League Match,Mar 23,2010,Bangalore,Bangalore,Chennai,171,5,20,20,135,7,20,20,Bangalore,FirstBatting,36,run,8.55,6.75,0,29,1,67,3,104,3,171,5,22,1,10,61,3,11.1,95,5,15.40,135,7,Evening,
134,League Match,Mar 24,2010,Mohali,Rajasthan,Punjab,183,5,20,20,152,10,19.1,20,Rajasthan,FirstBatting,31,run,9.15,7.93,5,49,1,87,2,133,3,183,5,59,1,8.33,102,2,8.2,127,6,11.40,152,10,Evening,
135,League Match,Mar 25,2010,Bangalore,Delhi,Bangalore,183,4,20,20,166,9,20,20,Delhi,FirstBatting,17,run,9.15,8.30,0,58,1,95,2,128,3,183,4,37,0,9.8,78,1,10.6,121,5,12.60,166,9,Afternoon,
136,League Match,Mar 25,2010,Mumbai (BS),Chennai,Mumbai,180,2,20,20,181,5,19,20,Mumbai,Chasing,5,wicket,9.00,9.53,6,38,2,85,2,126,2,180,2,50,0,8.73,98,2,8.3,133,3,9.60,,,Evening,
137,League Match,Mar 26,2010,Ahmedabad,Hyderabad,Rajasthan,148,9,20,20,151,2,15.4,20,Rajasthan,Chasing,8,wicket,7.40,9.64,26,42,2,79,4,108,6,148,9,51,0,6.53,95,1,5.4,139,2,2.00,,,Evening,
138,League Match,Mar 27,2010,Mohali,Kolkata,Punjab,183,5,20,20,144,6,20,20,Kolkata,FirstBatting,39,run,9.15,7.20,0,45,2,75,2,126,3,183,5,31,1,10.2,74,3,11,102,5,16.40,144,6,Evening,
139,League Match,Mar 28,2010,Ahmedabad,Rajasthan,Chennai,177,8,20,20,160,6,20,20,Rajasthan,FirstBatting,17,run,8.85,8.00,0,49,1,96,1,129,3,177,8,50,1,8.53,80,3,9.8,119,3,11.80,160,6,Afternoon,
140,League Match,Mar 28,2010,Mumbai,Mumbai,Hyderabad,172,7,20,20,131,10,17.4,20,Mumbai,FirstBatting,41,run,8.60,7.42,14,42,1,78,3,100,6,172,7,48,2,8.33,78,4,9.5,122,7,10.20,,,Evening,
141,League Match,Mar 29,2010,Delhi,Delhi,Kolkata,177,4,20,20,137,9,20,20,Delhi,FirstBatting,40,run,8.85,6.85,0,56,3,91,3,135,3,177,4,32,3,9.73,55,4,12.3,98,5,16.00,137,9,Evening,
142,League Match,Mar 30,2010,Mumbai (BS),Punjab,Mumbai,163,10,20,20,164,6,19.3,20,Mumbai,Chasing,4,wicket,8.15,8.41,3,41,2,85,2,118,4,163,10,37,0,8.46,82,2,8.2,118,3,9.20,164,6,Evening,
143,League Match,Mar 31,2010,Chennai,Bangalore,Chennai,161,4,20,20,162,5,18.5,20,Chennai,Chasing,5,wicket,8.05,8.60,7,33,1,80,2,117,2,161,4,47,0,7.66,89,1,7.3,125,2,7.40,,,Afternoon,
144,League Match,Mar 31,2010,Delhi,Delhi,Rajasthan,188,6,20,20,121,10,17.4,20,Delhi,FirstBatting,67,run,9.40,6.85,14,45,2,79,4,120,4,188,6,33,4,10.4,69,5,12,107,8,16.40,,,Evening,
145,League Match,Apr 1,2010,Kolkata,Kolkata,Hyderabad,181,6,20,20,157,5,20,20,Kolkata,FirstBatting,24,run,9.05,7.85,0,40,1,80,3,116,3,181,6,46,1,9.06,87,2,9.5,125,3,11.40,157,5,Evening,
146,League Match,Apr 2,2010,Mohali,Punjab,Bangalore,181,5,20,20,184,4,19.1,20,Bangalore,Chasing,6,wicket,9.05,9.60,5,36,1,74,2,119,3,181,5,40,1,9.46,77,2,10.5,122,2,12.00,184,4,Evening,
147,League Match,Apr 3,2010,Chennai,Chennai,Rajasthan,246,5,20,20,223,5,20,20,Chennai,FirstBatting,23,run,12.30,11.15,0,50,0,91,2,170,2,246,5,47,0,13.33,105,2,14.2,175,2,14.40,223,5,Afternoon,
148,League Match,Apr 3,2010,Mumbai (BS),Mumbai,Hyderabad,178,5,20,20,115,10,18.2,20,Mumbai,FirstBatting,63,run,8.90,6.27,10,47,0,70,3,114,3,178,5,36,1,9.53,68,3,11.1,98,6,16.20,,,Evening,
149,League Match,Apr 4,2010,Kolkata,Kolkata,Punjab,200,3,20,20,204,2,18.2,20,Punjab,Chasing,8,wicket,10.00,11.13,10,46,0,69,1,149,1,200,3,52,1,9.93,107,1,9.4,156,2,9.00,,,Afternoon,
150,League Match,Apr 4,2010,Delhi,Delhi,Bangalore,184,5,20,20,147,9,20,20,Delhi,FirstBatting,37,run,9.20,7.35,0,48,1,89,3,125,5,184,5,36,1,9.93,56,2,12.9,111,4,14.80,147,9,Evening,
151,League Match,Apr 5,2010,Nagpur,Rajasthan,Hyderabad,159,10,19.5,20,157,10,19.5,20,Rajasthan,FirstBatting,2,run,8.02,7.92,1,37,2,82,2,128,4,159,10,48,2,7.46,86,2,7.4,118,4,8.40,157,10,Evening,
152,League Match,Apr 6,2010,Chennai,Chennai,Mumbai,165,4,20,20,141,9,20,20,Chennai,FirstBatting,24,run,8.25,7.05,0,35,1,85,2,124,4,165,4,38,0,8.53,67,2,9.9,92,7,14.80,141,9,Evening,
153,League Match,Apr 7,2010,Jaipur,Punjab,Rajasthan,153,6,20,20,157,1,15,20,Rajasthan,Chasing,9,wicket,7.65,10.47,30,42,1,86,2,126,4,153,6,65,0,5.93,111,1,4.3,157,1,,,,Afternoon,
154,League Match,Apr 7,2010,Kolkata,Kolkata,Delhi,181,3,20,20,167,8,20,20,Kolkata,FirstBatting,14,run,9.05,8.35,0,41,0,88,0,126,3,181,3,39,1,9.53,91,1,9.1,135,4,9.40,167,8,Evening,
155,League Match,Apr 8,2010,Bangalore,Bangalore,Hyderabad,184,6,20,20,186,3,19.2,20,Hyderabad,Chasing,7,wicket,9.20,9.62,4,39,1,68,3,107,4,184,6,30,1,10.33,80,1,10.5,125,3,12.00,186,3,Evening,
156,League Match,Apr 9,2010,Mohali,Mumbai,Punjab,154,9,20,20,158,4,19.2,20,Punjab,Chasing,6,wicket,7.70,8.17,4,45,1,74,4,109,5,154,9,46,1,7.26,87,1,6.8,116,2,7.80,158,4,Evening,
157,League Match,Apr 10,2010,Nagpur,Chennai,Hyderabad,138,8,20,20,139,4,19.1,20,Hyderabad,Chasing,6,wicket,6.90,7.25,5,41,1,74,2,110,4,138,8,35,2,6.93,56,2,8.3,102,3,7.40,139,4,Afternoon,
158,League Match,Apr 10,2010,Bangalore,Kolkata,Bangalore,160,9,20,20,162,3,17.1,20,Bangalore,Chasing,7,wicket,8.00,9.44,17,51,0,83,1,124,4,160,9,33,1,8.53,76,1,8.5,120,3,8.20,,,Evening,
159,League Match,Apr 11,2010,Delhi,Delhi,Punjab,111,10,19.4,20,112,3,18.4,20,Punjab,Chasing,7,wicket,5.64,6.00,8,44,3,63,5,81,7,111,10,32,0,5.33,59,1,5.3,88,2,4.80,,,Afternoon,
160,League Match,Apr 11,2010,Jaipur,Mumbai,Rajasthan,174,5,20,20,137,8,20,20,Mumbai,FirstBatting,37,run,8.70,6.85,0,41,3,73,3,106,4,174,5,20,3,10.33,60,4,11.5,89,7,17.20,137,8,Evening,
161,League Match,Apr 12,2010,Nagpur,Hyderabad,Bangalore,151,6,20,20,138,10,19.4,20,Hyderabad,FirstBatting,13,run,7.55,7.02,2,28,3,71,3,111,4,151,6,32,1,8,72,1,8,102,4,10.00,138,10,Evening,
162,League Match,Apr 13,2010,Mumbai (BS),Mumbai,Delhi,183,4,20,20,144,7,20,20,Mumbai,FirstBatting,39,run,9.15,7.20,0,40,0,66,2,108,3,183,4,55,1,8.6,87,4,9.7,108,6,15.20,144,7,Afternoon,
163,League Match,Apr 13,2010,Chennai,Kolkata,Chennai,139,8,20,20,143,1,13.3,20,Chennai,Chasing,9,wicket,6.95,10.59,39,21,4,51,4,93,5,139,8,60,1,5.33,103,1,3.7,,,,,,Evening,
164,League Match,Apr 14,2010,Jaipur,Rajasthan,Bangalore,130,6,20,20,132,5,15.4,20,Bangalore,Chasing,5,wicket,6.50,8.43,26,24,3,53,3,87,6,130,6,42,2,5.93,91,2,4,124,5,1.40,,,Evening,
165,League Match,Apr 15,2010,Chennai,Chennai,Delhi,112,9,20,20,113,4,18.4,20,Delhi,Chasing,6,wicket,5.60,6.05,8,34,3,55,6,74,7,112,9,26,3,5.8,56,4,5.7,80,4,6.60,,,Evening,
166,League Match,Apr 16,2010,Dharamsala,Punjab,Hyderabad,174,3,20,20,178,5,19.1,20,Hyderabad,Chasing,5,wicket,8.70,9.29,5,34,1,72,1,98,2,174,3,37,1,9.2,82,2,9.3,131,4,8.80,178,5,Evening,
167,League Match,Apr 17,2010,Bangalore,Mumbai,Bangalore,191,4,20,20,134,9,20,20,Mumbai,FirstBatting,57,run,9.55,6.70,0,29,0,75,1,138,2,191,4,30,1,10.8,64,3,12.8,98,6,18.80,134,9,Afternoon,
168,League Match,Apr 17,2010,Kolkata,Rajasthan,Kolkata,132,9,20,20,133,2,16.1,20,Kolkata,Chasing,8,wicket,6.60,8.23,23,32,0,73,2,101,5,132,9,38,2,6.33,69,2,6.4,118,2,3.00,,,Evening,
169,League Match,Apr 18,2010,Dharamsala,Punjab,Chennai,192,3,20,20,195,4,19.4,20,Chennai,Chasing,6,wicket,9.60,9.92,2,43,1,86,1,131,3,192,3,37,2,10.4,94,3,9.9,130,3,12.60,195,4,Afternoon,
170,League Match,Apr 18,2010,Delhi,Hyderabad,Delhi,145,7,20,20,134,7,20,20,Hyderabad,FirstBatting,11,run,7.25,6.70,0,34,2,79,4,117,5,145,7,37,3,7.26,59,4,8.7,86,6,12.00,134,7,Evening,
171,League Match,Apr 19,2010,Kolkata,Mumbai,Kolkata,133,8,20,20,135,1,17.3,20,Kolkata,Chasing,9,wicket,6.65,7.71,15,29,2,69,2,86,4,133,8,41,0,6.2,72,0,6.2,107,1,5.40,,,Evening,
172,1st Semi-Final,Apr 21,2010,Mumbai,Mumbai,Bangalore,184,5,20,20,149,9,20,20,Mumbai,FirstBatting,35,run,9.20,7.45,0,39,2,81,4,107,4,184,5,41,1,9.6,83,4,10.2,118,7,13.40,149,9,Evening,
173,2nd Semi-Final,Apr 22,2010,Mumbai,Chennai,Hyderabad,142,7,20,20,104,10,19.2,20,Chennai,FirstBatting,38,run,7.10,5.38,4,31,3,62,3,96,5,142,7,19,0,8.26,43,3,10,81,5,12.40,104,10,Evening,
174,3rd Place Play-off,Apr 24,2010,Mumbai,Hyderabad,Bangalore,82,10,18.3,20,86,1,13.5,20,Bangalore,Chasing,9,wicket,4.43,6.22,37,20,3,43,5,78,5,82,10,26,0,3.8,53,1,3,,,,,,Evening,
175,Final,Apr 25,2010,Mumbai,Chennai,Mumbai,168,5,20,20,146,9,20,20,Chennai,FirstBatting,22,run,8.40,7.30,0,29,0,58,2,108,3,168,5,21,1,9.86,58,1,11.1,101,5,13.60,146,9,Evening,
176,League Match,Apr 8,2011,Chennai,Chennai,Kolkata,153,4,20,20,151,7,20,20,Chennai,FirstBatting,2,run,7.65,7.55,0,32,1,78,1,107,2,153,4,44,0,7.33,76,1,7.8,111,2,8.60,151,7,Evening,
177,League Match,Apr 9,2011,Hyderabad,Hyderabad,Rajasthan,137,8,20,20,141,2,18.5,20,Rajasthan,Chasing,8,wicket,6.85,7.49,7,40,1,69,3,90,5,137,8,29,0,7.26,60,1,7.8,93,2,9.00,,,Afternoon,
178,League Match,Apr 9,2011,Kochi,Kochi,Bangalore,161,5,20,20,162,4,18.4,20,Bangalore,Chasing,6,wicket,8.05,8.68,8,42,0,82,1,124,2,161,5,44,1,7.86,85,3,7.7,118,3,8.80,,,Evening,
179,League Match,Apr 10,2011,Delhi,Delhi,Mumbai,95,10,17.4,20,99,2,16.5,20,Mumbai,Chasing,8,wicket,5.38,5.88,19,27,3,53,4,87,6,95,10,22,1,4.93,48,2,4.8,85,2,2.20,,,Afternoon,
180,League Match,Apr 10,2011,Mumbai,Punjab,Pune,112,8,20,20,113,3,13.1,20,Pune,Chasing,7,wicket,5.60,8.58,41,26,4,46,6,68,6,112,8,32,1,5.4,74,3,3.9,,,,,,Evening,
181,League Match,Apr 11,2011,Kolkata,Kolkata,Hyderabad,163,4,20,20,154,8,20,20,Kolkata,FirstBatting,9,run,8.15,7.70,0,34,0,65,1,118,2,163,4,23,2,9.4,62,3,10.2,101,5,12.60,154,8,Evening,
182,League Match,Apr 12,2011,Jaipur,Delhi,Rajasthan,151,6,20,20,152,4,18.3,20,Rajasthan,Chasing,6,wicket,7.55,8.22,9,30,2,43,4,89,4,151,6,43,1,7.26,86,2,6.6,121,3,6.20,,,Afternoon,
183,League Match,Apr 12,2011,Bangalore,Bangalore,Mumbai,140,4,20,20,143,1,18.3,20,Mumbai,Chasing,9,wicket,7.00,7.73,9,20,2,50,2,91,2,140,4,33,1,7.2,78,1,6.3,116,1,5.00,,,Evening,
184,League Match,Apr 13,2011,Mohali,Chennai,Punjab,188,4,20,20,193,4,19.1,20,Punjab,Chasing,6,wicket,9.40,10.07,5,27,2,67,2,126,3,188,4,49,0,9.33,99,1,9,138,4,10.20,193,4,Afternoon,
185,League Match,Apr 13,2011,Mumbai,Kochi,Pune,148,8,20,20,151,6,18.5,20,Pune,Chasing,4,wicket,7.40,8.02,7,24,4,65,4,111,4,148,8,37,1,7.46,61,3,8.8,115,5,6.80,,,Evening,
186,League Match,Apr 14,2011,Hyderabad,Hyderabad,Bangalore,175,5,20,20,142,9,20,20,Hyderabad,FirstBatting,33,run,8.75,7.10,0,34,1,73,2,114,3,175,5,27,3,9.93,53,4,12.3,92,5,16.80,142,9,Evening,
187,League Match,Apr 15,2011,Jaipur,Rajasthan,Kolkata,159,4,20,20,160,1,18.3,20,Kolkata,Chasing,9,wicket,7.95,8.65,9,29,1,67,1,102,3,159,4,44,1,7.73,90,1,7,130,1,6.00,,,Afternoon,
188,League Match,Apr 15,2011,Mumbai,Mumbai,Kochi,182,2,20,20,184,2,19,20,Kochi,Chasing,8,wicket,9.10,9.68,6,35,0,71,1,125,1,182,2,32,0,10.06,84,0,9.9,134,1,9.80,,,Evening,
189,League Match,Apr 16,2011,Chennai,Chennai,Bangalore,183,5,20,20,162,7,20,20,Chennai,FirstBatting,21,run,9.15,8.10,0,33,0,80,1,126,2,183,5,31,3,10.2,67,3,11.7,112,5,14.40,162,7,Afternoon,
190,League Match,Apr 16,2011,Hyderabad,Hyderabad,Punjab,165,8,20,20,166,2,17.4,20,Punjab,Chasing,8,wicket,8.25,9.40,14,38,1,81,1,113,4,165,8,59,0,7.13,104,0,6.2,139,1,5.40,,,Evening,
191,League Match,Apr 17,2011,Mumbai,Pune,Delhi,187,5,20,20,190,7,19.2,20,Delhi,Chasing,3,wicket,9.35,9.83,4,42,1,98,3,128,4,187,5,52,0,9.06,98,2,9,128,5,12.00,190,7,Afternoon,
192,League Match,Apr 17,2011,Kolkata,Rajasthan,Kolkata,81,10,15.2,20,85,2,13.5,20,Kolkata,Chasing,8,wicket,5.28,6.14,37,28,2,61,4,80,9,81,10,23,1,3.93,45,2,3.7,,,,,,Evening,
193,League Match,Apr 18,2011,Kochi,Chennai,Kochi,131,4,17,17,135,3,15,17,Kochi,Chasing,7,wicket,7.71,9.00,12,32,1,72,2,109,3,,,40,1,8,90,1,6.57,135,3,0.50,,,Evening,
194,League Match,Apr 19,2011,Delhi,Hyderabad,Delhi,168,4,20,20,152,7,20,20,Hyderabad,FirstBatting,16,run,8.40,7.60,0,36,1,90,1,129,3,168,4,33,2,9.06,78,3,9.1,107,5,12.40,152,7,Evening,
195,League Match,Apr 20,2011,Mumbai,Pune,Mumbai,118,10,17.2,20,124,3,20,20,Mumbai,Chasing,7,wicket,6.81,6.20,0,23,4,60,5,100,7,118,10,27,1,6.13,63,1,5.6,89,3,6.00,124,3,Afternoon,
196,League Match,Apr 20,2011,Kolkata,Kochi,Kolkata,132,7,20,20,126,9,20,20,Kochi,FirstBatting,6,run,6.60,6.30,0,38,0,55,3,100,5,132,7,28,2,7,59,3,7.4,86,5,9.40,126,9,Evening,
197,League Match,Apr 21,2011,Mohali,Punjab,Rajasthan,195,7,20,20,147,7,20,20,Punjab,FirstBatting,48,run,9.75,7.35,0,73,1,106,2,169,2,195,7,38,2,10.53,61,4,13.5,113,5,16.60,147,7,Evening,
198,League Match,Apr 22,2011,Kolkata,Kolkata,Bangalore,171,5,20,20,175,1,18.1,20,Bangalore,Chasing,9,wicket,8.55,9.63,11,44,1,76,1,114,2,171,5,46,0,8.4,92,0,8,152,1,4.00,,,Afternoon,
199,League Match,Apr 22,2011,Mumbai,Mumbai,Chennai,164,4,20,20,156,9,20,20,Mumbai,FirstBatting,8,run,8.20,7.80,0,31,2,67,2,107,3,164,4,38,2,8.46,84,2,8.1,119,4,9.20,156,9,Evening,
200,League Match,Apr 23,2011,Delhi,Delhi,Punjab,231,4,20,20,202,6,20,20,Delhi,FirstBatting,29,run,11.55,10.10,0,52,0,115,0,173,2,231,4,34,1,13.2,96,1,13.6,147,3,17.00,202,6,Evening,
201,League Match,Apr 24,2011,Hyderabad,Mumbai,Hyderabad,172,4,20,20,135,8,20,20,Mumbai,FirstBatting,37,run,8.60,6.75,0,47,0,72,4,102,4,172,4,39,1,8.93,72,4,10.1,100,6,14.60,135,8,Afternoon,
202,League Match,Apr 24,2011,Jaipur,Kochi,Rajasthan,109,10,20,20,111,2,14.1,20,Rajasthan,Chasing,8,wicket,5.45,7.84,35,29,2,54,3,88,3,109,10,33,0,5.13,68,0,4.2,111,2,,,,Evening,
